Air Lock
Reactor Core
Map Facility
Landing Site
Artifact Temple
Gully
Life Grove
Root Cave
Great Tree Hall
Waterfall Cavern
Canyon Cavern
Arbor Chamber
Temple Hall
Temple Lobby
Root Tunnel
Alcove
Save Station
Reactor Access
Ruins Entrance
Main Plaza
Nursery Access
Ruined Nursery
Save Station
North Atrium
Ruined Gallery
Map Station
Totem Access
Hive Totem
Ruined Shrine
Ruined Fountain
Arboretum
Sunchamber
Sun Tower
Vault Access
Vault
Plaza Access
Gathering Hall
Watery Hall
East Atrium
Energy Core
Burn Dome
Furnace
Tower of Light
Tower Chamber
Elder Chamber
Crossway
Reflecting Pool
Antechamber
Magma Pool
Dynamo
Dynamo Access
Piston Tunnel
Burning Trail
Lake Tunnel
Lava Lake
Pit Tunnel
Storage Cavern
Monitor Tunnel
Monitor Station
Warrior Shrine
Shore Tunnel
Fiery Shores
Geothermal Core
Twin Fires
Storage Cavern
Gravity Chamber
Ice Ruins East
Ice Ruins West
Control Tower
Storage Cave
Observatory
Research Core
Frozen Pike
Hunter Cave
Frost Cave
Security Cave
Plaza Walkway
Ruins Entryway
Temple Entryway
Chapel Tunnel
Canyon Entryway
Map Station
West Tower
East Tower
Pike Access
Lake Tunnel
Chamber Access
Main Quarry
Elite Quarters
Elite Research
Ore Processing
Elite Control
Central Dynamo
Omega Research
Fungal Hall
Elevator
Research Access
Dynamo Access
Waste Disposal
Security Access
Quarry Access
Crater Entry
Crater Tunnel
Subchamber
